theory_key        , system    , n_configs, valid_configs, missing_configs, coverage_fraction    , coverage_type
ccsd(t)_cbs.energy, C2H3N3O1  ,     14783,          2459,           12324, 0.16633971453696814  , partial
ccsd(t)_cbs.energy, C5H10N2O1 ,     21481,          2437,           19044, 0.11344909454867091  , partial
ccsd(t)_cbs.energy, C3H5N3O1  ,     28478,          2433,           26045, 0.08543437039117915  , partial
ccsd(t)_cbs.energy, C2H2N4O2  ,     20035,          2422,           17613, 0.12088844522086349  , partial
ccsd(t)_cbs.energy, C1H2N4O1  ,     12268,          2408,            9860, 0.19628301271600912  , partial
ccsd(t)_cbs.energy, C6H11N1O1 ,     20711,          2359,           18352, 0.11390082564820626  , partial
ccsd(t)_cbs.energy, C4H5N1O3  ,     21793,          2340,           19453, 0.10737392740788326  , partial
ccsd(t)_cbs.energy, C5H9N1O2  ,     21579,          2336,           19243, 0.10825339450391584  , partial
ccsd(t)_cbs.energy, C6H6O2    ,     21003,          2325,           18678, 0.11069847164690759  , partial
ccsd(t)_cbs.energy, C3H4N2O1  ,     20433,          2292,           18141, 0.11217148729995595  , partial
ccsd(t)_cbs.energy, C3H4N2O2  ,     23456,          2284,           21172, 0.0973738062755798   , partial
ccsd(t)_cbs.energy, C7H11N1   ,     21491,          2258,           19233, 0.10506723744823414  , partial
ccsd(t)_cbs.energy, C2H4N2O2  ,     18912,          2219,           16693, 0.117332910321489    , partial
ccsd(t)_cbs.energy, C3H3N5    ,     17543,          2167,           15376, 0.12352505272758366  , partial
ccsd(t)_cbs.energy, C3H2N2O3  ,     16886,          2139,           14747, 0.1266729835366576   , partial
ccsd(t)_cbs.energy, C3H5N5    ,     20073,          2124,           17949, 0.10581377970408011  , partial
ccsd(t)_cbs.energy, C7H10O1   ,     18165,          2084,           16081, 0.11472612166253784  , partial
ccsd(t)_cbs.energy, C2H5N5O1  ,     18896,          2064,           16832, 0.10922946655376799  , partial
ccsd(t)_cbs.energy, C2H3N3O3  ,     17418,          2061,           15357, 0.11832586978987254  , partial
ccsd(t)_cbs.energy, C4H4N2O1  ,     20922,          2030,           18892, 0.09702705286301501  , partial
ccsd(t)_cbs.energy, C6H10O2   ,     18028,          2024,           16004, 0.11226980252939871  , partial
ccsd(t)_cbs.energy, C7H9N1    ,     18484,          2001,           16483, 0.10825578879030513  , partial
ccsd(t)_cbs.energy, C2H6N2O1  ,     24612,          1999,           22613, 0.08122054282463839  , partial
ccsd(t)_cbs.energy, C3H6N2O1  ,     22560,          1988,           20572, 0.08812056737588653  , partial
ccsd(t)_cbs.energy, C3H8N4O1  ,     18471,          1979,           16492, 0.10714092360998322  , partial
ccsd(t)_cbs.energy, C4H9N3O1  ,     17991,          1978,           16013, 0.10994386081929854  , partial
ccsd(t)_cbs.energy, C4H6O2    ,     18814,          1964,           16850, 0.10439034761347932  , partial
ccsd(t)_cbs.energy, C5H5N3    ,     17159,          1962,           15197, 0.11434232764147095  , partial
ccsd(t)_cbs.energy, C2H3N3O2  ,     18663,          1944,           16719, 0.10416331779456679  , partial
ccsd(t)_cbs.energy, C4H7N1O1  ,     21695,          1940,           19755, 0.08942152569716524  , partial
ccsd(t)_cbs.energy, C6H12N2   ,     17520,          1910,           15610, 0.10901826484018265  , partial
ccsd(t)_cbs.energy, C2H4N4O1  ,     19114,          1902,           17212, 0.09950821387464685  , partial
ccsd(t)_cbs.energy, C4H5N1O2  ,     20032,          1820,           18212, 0.09085463258785942  , partial
ccsd(t)_cbs.energy, C4H8N2    ,     21177,          1820,           19357, 0.08594229588704727  , partial
ccsd(t)_cbs.energy, C5H6O3    ,     16434,          1816,           14618, 0.11050261652671291  , partial
ccsd(t)_cbs.energy, C3H3N3O1  ,     14963,          1775,           13188, 0.11862594399518812  , partial
ccsd(t)_cbs.energy, C7H8O1    ,     17017,          1760,           15257, 0.10342598577892695  , partial
ccsd(t)_cbs.energy, C3H5N1O1  ,     18157,          1760,           16397, 0.09693231260670816  , partial
ccsd(t)_cbs.energy, C4H3N1O3  ,     14461,          1740,           12721, 0.12032362907129521  , partial
ccsd(t)_cbs.energy, C2H5N3O1  ,     14300,          1734,           12566, 0.12125874125874125  , partial
ccsd(t)_cbs.energy, C3H7N5    ,     15339,          1727,           13612, 0.1125888258687007   , partial
ccsd(t)_cbs.energy, C4H6N2    ,     18679,          1687,           16992, 0.09031532737298571  , partial
ccsd(t)_cbs.energy, C3H6N2    ,     18038,          1675,           16363, 0.09285951879365784  , partial
ccsd(t)_cbs.energy, C2H6N4O2  ,     13995,          1596,           12399, 0.11404072883172561  , partial
ccsd(t)_cbs.energy, C3H5N1O2  ,     14898,          1585,           13313, 0.10639011947912472  , partial
ccsd(t)_cbs.energy, C3H6N2O2  ,     17227,          1572,           15655, 0.09125210425494863  , partial
ccsd(t)_cbs.energy, C5H11N3   ,     13479,          1569,           11910, 0.11640329401290897  , partial
ccsd(t)_cbs.energy, C3H6N2O3  ,     14247,          1568,           12679, 0.11005825787885169  , partial
ccsd(t)_cbs.energy, C4H2N2O2  ,      9159,          1567,            7592, 0.17108854678458346  , partial
ccsd(t)_cbs.energy, C6H6N2    ,     13406,          1560,           11846, 0.11636580635536327  , partial
ccsd(t)_cbs.energy, C5H8O3    ,     14729,          1560,           13169, 0.1059135039717564   , partial
ccsd(t)_cbs.energy, C4H7N3    ,     18239,          1544,           16695, 0.0846537639124952   , partial
ccsd(t)_cbs.energy, C4H5N1O1  ,     15878,          1528,           14350, 0.09623378259226603  , partial
ccsd(t)_cbs.energy, C4H8N2O1  ,     16775,          1502,           15273, 0.08953800298062593  , partial
ccsd(t)_cbs.energy, C4H9N1O1  ,     20499,          1500,           18999, 0.07317430118542367  , partial
ccsd(t)_cbs.energy, C4H5N3    ,     18065,          1485,           16580, 0.08220315527262663  , partial
ccsd(t)_cbs.energy, C3H8N2O1  ,     16354,          1481,           14873, 0.09055888467653174  , partial
ccsd(t)_cbs.energy, C6H10N2O1 ,     11886,          1460,           10426, 0.12283358573111224  , partial
ccsd(t)_cbs.energy, C4H10N4   ,     13067,          1445,           11622, 0.11058391367567154  , partial
ccsd(t)_cbs.energy, C2H4N6    ,     11378,          1417,            9961, 0.12453858323079628  , partial
ccsd(t)_cbs.energy, C6H8N2O1  ,     12994,          1405,           11589, 0.10812682776666153  , partial
ccsd(t)_cbs.energy, C5H8O1    ,     18667,          1404,           17263, 0.07521294262602453  , partial
ccsd(t)_cbs.energy, C2H2N2O2  ,      9575,          1402,            8173, 0.14642297650130548  , partial
ccsd(t)_cbs.energy, C2H3N1O3  ,      8528,          1388,            7140, 0.1627579737335835   , partial
ccsd(t)_cbs.energy, C3H6O2    ,     15053,          1388,           13665, 0.0922075333820501   , partial
ccsd(t)_cbs.energy, C3H7N1O1  ,     18211,          1372,           16839, 0.07533908077535556  , partial
ccsd(t)_cbs.energy, C5H8N2    ,     15950,          1353,           14597, 0.08482758620689655  , partial
ccsd(t)_cbs.energy, C2H2N2O1  ,      7866,          1345,            6521, 0.17098906687007373  , partial
ccsd(t)_cbs.energy, C3H4N4    ,     12148,          1345,           10803, 0.11071781363187357  , partial
ccsd(t)_cbs.energy, C2H5N1O2  ,     14294,          1327,           12967, 0.09283615503008255  , partial
ccsd(t)_cbs.energy, C4H8O2    ,     14713,          1320,           13393, 0.08971657717664651  , partial
ccsd(t)_cbs.energy, C5H5N1O1  ,     11560,          1286,           10274, 0.11124567474048443  , partial
ccsd(t)_cbs.energy, C7H11N1O1 ,     10614,          1262,            9352, 0.11889956661013755  , partial
ccsd(t)_cbs.energy, C3H7N1O2  ,     13017,          1260,           11757, 0.09679649688868402  , partial
ccsd(t)_cbs.energy, C4H8O1    ,     21172,          1259,           19913, 0.05946533156999811  , partial
ccsd(t)_cbs.energy, C3H7N3    ,     14293,          1246,           13047, 0.08717554047435808  , partial
ccsd(t)_cbs.energy, C3H6N4    ,     14442,          1236,           13206, 0.08558371416701288  , partial
ccsd(t)_cbs.energy, C6H5N1O1  ,     11091,          1215,            9876, 0.10954828239112795  , partial
ccsd(t)_cbs.energy, C2H3N1O2  ,      7819,          1201,            6618, 0.15360020462974805  , partial
ccsd(t)_cbs.energy, C4H7N1O2  ,     11331,          1199,           10132, 0.10581590327420351  , partial
ccsd(t)_cbs.energy, C4H7N1O3  ,     11249,          1181,           10068, 0.10498710996533026  , partial
ccsd(t)_cbs.energy, C5H6O1    ,     12595,          1169,           11426, 0.0928146089718142   , partial
ccsd(t)_cbs.energy, C3H4N2    ,     10260,          1167,            9093, 0.11374269005847953  , partial
ccsd(t)_cbs.energy, C5H9N1O1  ,     11268,          1160,           10108, 0.10294639687610933  , partial
ccsd(t)_cbs.energy, C3H5N3    ,     11893,          1143,           10750, 0.09610695367022619  , partial
ccsd(t)_cbs.energy, C3H3N1O2  ,      9039,          1142,            7897, 0.12634140944794778  , partial
ccsd(t)_cbs.energy, C1H5N3O1  ,     10568,          1142,            9426, 0.10806207418622256  , partial
ccsd(t)_cbs.energy, C5H7N1O1  ,     12962,          1140,           11822, 0.08794939052615337  , partial
ccsd(t)_cbs.energy, C5H9N1    ,     14763,          1125,           13638, 0.07620402357244463  , partial
ccsd(t)_cbs.energy, C2H1N5O1  ,      5490,          1119,            4371, 0.20382513661202187  , partial
ccsd(t)_cbs.energy, C5H8O2    ,     10453,          1111,            9342, 0.1062852769539845   , partial
ccsd(t)_cbs.energy, C2H4N4    ,      7956,          1110,            6846, 0.13951734539969834  , partial
ccsd(t)_cbs.energy, C5H3N1O2  ,      8925,          1109,            7816, 0.12425770308123249  , partial
ccsd(t)_cbs.energy, C2H1N3O3  ,      6242,          1102,            5140, 0.17654597885293175  , partial
ccsd(t)_cbs.energy, C2H7N5O1  ,      9763,          1095,            8668, 0.11215814811021202  , partial
ccsd(t)_cbs.energy, C5H7N1    ,     11722,          1095,           10627, 0.09341409315816414  , partial
ccsd(t)_cbs.energy, C5H9N3O1  ,      9178,          1087,            8091, 0.1184353889736326   , partial
ccsd(t)_cbs.energy, C2H7N3O1  ,      9491,          1084,            8407, 0.11421346538826256  , partial
ccsd(t)_cbs.energy, C1H1N3O2  ,      5099,          1080,            4019, 0.21180623651696412  , partial
ccsd(t)_cbs.energy, C3H4O2    ,     10807,          1070,            9737, 0.09900990099009901  , partial
ccsd(t)_cbs.energy, C3H3N1O1  ,      8542,          1066,            7476, 0.12479512994614844  , partial
ccsd(t)_cbs.energy, C2H2N4O1  ,      6470,          1061,            5409, 0.16398763523956722  , partial
ccsd(t)_cbs.energy, C6H11N3   ,      8761,          1059,            7702, 0.12087661225887456  , partial
ccsd(t)_cbs.energy, C4H3N1O2  ,     10109,          1057,            9052, 0.10456029280838856  , partial
ccsd(t)_cbs.energy, C4H6O1    ,     14809,          1049,           13760, 0.07083530285637113  , partial
ccsd(t)_cbs.energy, C1H4N2O2  ,      7786,          1047,            6739, 0.13447212946313897  , partial
ccsd(t)_cbs.energy, C3H7N3O1  ,     11770,          1036,           10734, 0.08802039082412914  , partial
ccsd(t)_cbs.energy, C3H5N1O3  ,      7914,          1034,            6880, 0.1306545362648471   , partial
ccsd(t)_cbs.energy, C5H7N3O1  ,      9155,          1027,            8128, 0.11217913708356089  , partial
ccsd(t)_cbs.energy, C5H6N2    ,     11808,          1018,           10790, 0.08621273712737128  , partial
ccsd(t)_cbs.energy, C7H9N1O1  ,      9382,          1015,            8367, 0.10818588787039012  , partial
ccsd(t)_cbs.energy, C5H6O2    ,     10438,          1014,            9424, 0.09714504694385898  , partial
ccsd(t)_cbs.energy, C3H2N2O2  ,      9799,           986,            8813, 0.10062251250127564  , partial
ccsd(t)_cbs.energy, C5H8N2O2  ,      7740,           972,            6768, 0.12558139534883722  , partial
ccsd(t)_cbs.energy, C5H10O1   ,     14465,           967,           13498, 0.06685101970273073  , partial
ccsd(t)_cbs.energy, C2H5N3O2  ,      9413,           962,            8451, 0.10219908636991396  , partial
ccsd(t)_cbs.energy, C2H5N3O3  ,      8185,           957,            7228, 0.11692119731215639  , partial
ccsd(t)_cbs.energy, C5H4O3    ,      7052,           956,            6096, 0.13556437889960296  , partial
ccsd(t)_cbs.energy, C1H3N5    ,      5453,           950,            4503, 0.17421602787456447  , partial
ccsd(t)_cbs.energy, C5H3N3    ,      6041,           946,            5095, 0.15659658996854825  , partial
ccsd(t)_cbs.energy, C3H3N1O4  ,      8343,           942,            7401, 0.11290902553038476  , partial
ccsd(t)_cbs.energy, C5H10N2   ,      9771,           924,            8847, 0.09456555112066319  , partial
ccsd(t)_cbs.energy, C2H2N2O3  ,      7368,           921,            6447, 0.125                , partial
ccsd(t)_cbs.energy, C6H7N1O2  ,      8185,           908,            7277, 0.11093463653023825  , partial
ccsd(t)_cbs.energy, C5H6N2O2  ,      7903,           904,            6999, 0.11438694166772112  , partial
ccsd(t)_cbs.energy, C6H9N1    ,      9656,           890,            8766, 0.09217067108533554  , partial
ccsd(t)_cbs.energy, C6H8O1    ,      9709,           889,            8820, 0.09156452775775054  , partial
ccsd(t)_cbs.energy, C2H4N2    ,      3620,           882,            2738, 0.243646408839779    , partial
ccsd(t)_cbs.energy, C6H9N1O2  ,      7640,           878,            6762, 0.11492146596858639  , partial
ccsd(t)_cbs.energy, C6H11N1   ,      9129,           878,            8251, 0.09617701829335086  , partial
ccsd(t)_cbs.energy, C2H4O1    ,      5839,           865,            4974, 0.14814180510361363  , partial
ccsd(t)_cbs.energy, C2H6N4    ,      7072,           862,            6210, 0.12188914027149321  , partial
ccsd(t)_cbs.energy, C4H4O2    ,      7545,           857,            6688, 0.11358515573227303  , partial
ccsd(t)_cbs.energy, C3H3N1O3  ,      8757,           857,            7900, 0.09786456549046477  , partial
ccsd(t)_cbs.energy, C2H6N4O1  ,      7908,           851,            7057, 0.10761254425897825  , partial
ccsd(t)_cbs.energy, C1H4N2O1  ,      8361,           843,            7518, 0.10082526013634732  , partial
ccsd(t)_cbs.energy, C6H9N3    ,      7162,           832,            6330, 0.11616866796984082  , partial
ccsd(t)_cbs.energy, C3H6O3    ,      6074,           825,            5249, 0.1358248271320382   , partial
ccsd(t)_cbs.energy, C8H10     ,      7544,           820,            6724, 0.10869565217391304  , partial
ccsd(t)_cbs.energy, C5H10N4   ,      6187,           818,            5369, 0.13221270405689348  , partial
ccsd(t)_cbs.energy, C4H8N4O1  ,      6419,           805,            5614, 0.12540894220283533  , partial
ccsd(t)_cbs.energy, C4H10N2   ,     12396,           802,           11594, 0.06469828977089384  , partial
ccsd(t)_cbs.energy, C7H10N2   ,      6616,           801,            5815, 0.12107013301088271  , partial
ccsd(t)_cbs.energy, H12O6     ,      7142,           800,            6342, 0.11201344161299356  , partial
ccsd(t)_cbs.energy, C3H4O3    ,      5157,           799,            4358, 0.15493503975179368  , partial
ccsd(t)_cbs.energy, C3H9N5    ,      7580,           796,            6784, 0.10501319261213721  , partial
ccsd(t)_cbs.energy, C2H7N3    ,     12022,           772,           11250, 0.06421560472467143  , partial
ccsd(t)_cbs.energy, C5H11N1O2 ,      6893,           766,            6127, 0.11112723052371971  , partial
ccsd(t)_cbs.energy, C3H8N2    ,     15313,           758,           14555, 0.04950042447593548  , partial
ccsd(t)_cbs.energy, C2H4N2O1  ,      6679,           756,            5923, 0.11319059739481958  , partial
ccsd(t)_cbs.energy, C1H6N4    ,      5295,           752,            4543, 0.14202077431539187  , partial
ccsd(t)_cbs.energy, C4H4O4    ,      6361,           749,            5612, 0.11774878163810722  , partial
ccsd(t)_cbs.energy, C2H6N2O2  ,      6185,           746,            5439, 0.1206143896523848   , partial
ccsd(t)_cbs.energy, C2H6N6    ,      6373,           745,            5628, 0.11689941942570219  , partial
ccsd(t)_cbs.energy, C4H3N1O1  ,      4504,           741,            3763, 0.16452042628774421  , partial
ccsd(t)_cbs.energy, C3H3N3    ,      5141,           738,            4403, 0.14355183816378136  , partial
ccsd(t)_cbs.energy, C1H4N2    ,      5717,           732,            4985, 0.1280391813888403   , partial
ccsd(t)_cbs.energy, C4H9N3    ,      8177,           732,            7445, 0.0895193836370307   , partial
ccsd(t)_cbs.energy, C3H2N2O1  ,      3312,           729,            2583, 0.22010869565217392  , partial
ccsd(t)_cbs.energy, C5H11N1   ,     14074,           729,           13345, 0.051797641040216    , partial
ccsd(t)_cbs.energy, C4H9N1    ,     19184,           725,           18459, 0.037791909924937445 , partial
ccsd(t)_cbs.energy, C4H6N4O1  ,      5933,           720,            5213, 0.12135513231080398  , partial
ccsd(t)_cbs.energy, C4H2N4    ,      4005,           715,            3290, 0.17852684144818975  , partial
ccsd(t)_cbs.energy, C4H7N3O2  ,      6046,           715,            5331, 0.11826000661594442  , partial
ccsd(t)_cbs.energy, C2H1N3O2  ,      3373,           708,            2665, 0.2099021642454788   , partial
ccsd(t)_cbs.energy, C2H5N5    ,      7397,           688,            6709, 0.0930106800054076   , partial
ccsd(t)_cbs.energy, C4H10N2O2 ,      6243,           684,            5559, 0.10956271023546373  , partial
ccsd(t)_cbs.energy, H10O5     ,      6276,           684,            5592, 0.1089866156787763   , partial
ccsd(t)_cbs.energy, C2H4N2O3  ,      6013,           683,            5330, 0.11358722767337436  , partial
ccsd(t)_cbs.energy, C7H7N1    ,      5248,           661,            4587, 0.12595274390243902  , partial
ccsd(t)_cbs.energy, C4H6O3    ,      6638,           658,            5980, 0.09912624284423019  , partial
ccsd(t)_cbs.energy, C6H10     ,      7826,           658,            7168, 0.08407871198568873  , partial
ccsd(t)_cbs.energy, C3H8N4    ,      7576,           654,            6922, 0.08632523759239705  , partial
ccsd(t)_cbs.energy, C7H12O1   ,      5773,           650,            5123, 0.11259310583751948  , partial
ccsd(t)_cbs.energy, C4H4N2    ,      5157,           648,            4509, 0.1256544502617801   , partial
ccsd(t)_cbs.energy, C8H11N1   ,      5337,           645,            4692, 0.12085441259134345  , partial
ccsd(t)_cbs.energy, C2H2N2O4  ,      5500,           642,            4858, 0.11672727272727272  , partial
ccsd(t)_cbs.energy, C2H5N1O1  ,      6593,           641,            5952, 0.0972243288336114   , partial
ccsd(t)_cbs.energy, C6H8      ,      7747,           638,            7109, 0.08235445979088679  , partial
ccsd(t)_cbs.energy, C6H6N2O1  ,      5039,           634,            4405, 0.12581861480452472  , partial
ccsd(t)_cbs.energy, C2H2N6    ,      5593,           632,            4961, 0.11299839084569999  , partial
ccsd(t)_cbs.energy, C7H6O1    ,      5146,           628,            4518, 0.12203653322969296  , partial
ccsd(t)_cbs.energy, C5H8N4    ,      5399,           625,            4774, 0.11576217818114466  , partial
ccsd(t)_cbs.energy, C4H4N4O1  ,      4685,           617,            4068, 0.13169690501600853  , partial
ccsd(t)_cbs.energy, C7H10O2   ,      4949,           616,            4333, 0.12446958981612447  , partial
ccsd(t)_cbs.energy, C2H4O2    ,      4980,           615,            4365, 0.12349397590361445  , partial
ccsd(t)_cbs.energy, H14O7     ,      9799,           611,            9188, 0.06235330135728136  , partial
ccsd(t)_cbs.energy, C1H4N6O1  ,      4745,           610,            4135, 0.1285563751317176   , partial
ccsd(t)_cbs.energy, C1H2O3    ,      2771,           606,            2165, 0.21869361241429086  , partial
ccsd(t)_cbs.energy, C1H3N1O1  ,      4148,           602,            3546, 0.14513018322082932  , partial
ccsd(t)_cbs.energy, C8H12     ,      6094,           601,            5493, 0.0986215950114867   , partial
ccsd(t)_cbs.energy, C4H5N3O2  ,      4989,           598,            4391, 0.11986370014030868  , partial
ccsd(t)_cbs.energy, C3H5N1O4  ,      5203,           598,            4605, 0.11493369210071112  , partial
ccsd(t)_cbs.energy, C2H8N6    ,      4974,           594,            4380, 0.11942098914354644  , partial
ccsd(t)_cbs.energy, C3H8N2O2  ,      6193,           594,            5599, 0.09591474245115453  , partial
ccsd(t)_cbs.energy, C2H5N3    ,      4972,           591,            4381, 0.11886564762670958  , partial
ccsd(t)_cbs.energy, C2H3N5    ,      3627,           590,            3037, 0.1626688723462917   , partial
ccsd(t)_cbs.energy, C3H6O1    ,      9811,           589,            9222, 0.06003465497910509  , partial
ccsd(t)_cbs.energy, H2O3      ,      1752,           585,            1167, 0.3339041095890411   , partial
ccsd(t)_cbs.energy, C5H10N2O2 ,      4872,           585,            4287, 0.12007389162561577  , partial
ccsd(t)_cbs.energy, C4H2N2O1  ,      4884,           576,            4308, 0.11793611793611794  , partial
ccsd(t)_cbs.energy, C1H3N5O2  ,      4630,           575,            4055, 0.12419006479481641  , partial
ccsd(t)_cbs.energy, C7H8O2    ,      4455,           567,            3888, 0.12727272727272726  , partial
ccsd(t)_cbs.energy, C3H9N3    ,      7873,           559,            7314, 0.07100215927854693  , partial
ccsd(t)_cbs.energy, C1H1N3O1  ,      2561,           558,            2003, 0.21788363920343615  , partial
ccsd(t)_cbs.energy, C7H7N1O3  ,      4452,           557,            3895, 0.1251123090745732   , partial
ccsd(t)_cbs.energy, C7H8N2O2  ,      5098,           557,            4541, 0.1092585327579443   , partial
ccsd(t)_cbs.energy, H4N2      ,      2594,           550,            2044, 0.21202775636083268  , partial
ccsd(t)_cbs.energy, C1H2N4    ,      2831,           549,            2282, 0.19392440833627694  , partial
ccsd(t)_cbs.energy, C1H3N5O1  ,      4954,           549,            4405, 0.11081953976584578  , partial
ccsd(t)_cbs.energy, C6H4N2    ,      4011,           548,            3463, 0.13662428322114187  , partial
ccsd(t)_cbs.energy, C1H2N4O2  ,      4478,           539,            3939, 0.12036623492630638  , partial
ccsd(t)_cbs.energy, C4H9N1O3  ,      4829,           537,            4292, 0.1112031476496169   , partial
ccsd(t)_cbs.energy, C2H4O3    ,      3132,           532,            2600, 0.1698595146871009   , partial
ccsd(t)_cbs.energy, C8H10O1   ,      4533,           531,            4002, 0.1171409662475182   , partial
ccsd(t)_cbs.energy, C5H10     ,     10268,           530,            9738, 0.051616673159329954 , partial
ccsd(t)_cbs.energy, C5H5N3O1  ,      4164,           527,            3637, 0.1265609990393852   , partial
ccsd(t)_cbs.energy, C8H8      ,      4374,           517,            3857, 0.11819844535893918  , partial
ccsd(t)_cbs.energy, C6H10O1   ,      5082,           517,            4565, 0.10173160173160173  , partial
ccsd(t)_cbs.energy, C5H12N2O1 ,      4868,           515,            4353, 0.10579293344289235  , partial
ccsd(t)_cbs.energy, C1H5N3    ,      5554,           515,            5039, 0.09272596326971552  , partial
ccsd(t)_cbs.energy, C6H6O1    ,      5198,           514,            4684, 0.09888418622547133  , partial
ccsd(t)_cbs.energy, C9H8N2    ,      5981,           511,            5470, 0.08543721785654573  , partial
ccsd(t)_cbs.energy, C5H4N2O2  ,      3239,           498,            2741, 0.1537511577647422   , partial
ccsd(t)_cbs.energy, C4H6O4    ,      4572,           496,            4076, 0.1084864391951006   , partial
ccsd(t)_cbs.energy, C4H10N4O1 ,      3867,           492,            3375, 0.12723041117145073  , partial
ccsd(t)_cbs.energy, C2H3N3    ,      4529,           488,            4041, 0.10775005519982336  , partial
ccsd(t)_cbs.energy, C5H11N3O1 ,      4209,           487,            3722, 0.11570444286053694  , partial
ccsd(t)_cbs.energy, C8H8O3    ,      4913,           487,            4426, 0.0991247710156727   , partial
ccsd(t)_cbs.energy, C5H6N4    ,      3689,           482,            3207, 0.1306587150989428   , partial
ccsd(t)_cbs.energy, C4H9N1O2  ,      4397,           468,            3929, 0.10643620650443485  , partial
ccsd(t)_cbs.energy, C6H12     ,      7001,           466,            6535, 0.06656191972575347  , partial
ccsd(t)_cbs.energy, C1H3N1O2  ,      3276,           463,            2813, 0.14133089133089133  , partial
ccsd(t)_cbs.energy, H2N2      ,      1578,           454,            1124, 0.2877059569074778   , partial
ccsd(t)_cbs.energy, C2H2N4    ,      2161,           452,            1709, 0.2091624248033318   , partial
ccsd(t)_cbs.energy, C5H4O2    ,      3878,           447,            3431, 0.11526560082516761  , partial
ccsd(t)_cbs.energy, C6H4O2    ,      3207,           443,            2764, 0.13813532896788275  , partial
ccsd(t)_cbs.energy, C4H12N4   ,      4005,           440,            3565, 0.10986267166042447  , partial
ccsd(t)_cbs.energy, C6H6N2O2  ,      3623,           438,            3185, 0.12089428650289816  , partial
ccsd(t)_cbs.energy, C3H6N4O2  ,      3080,           435,            2645, 0.14123376623376624  , partial
ccsd(t)_cbs.energy, C2H7N5    ,      3602,           431,            3171, 0.11965574680732927  , partial
ccsd(t)_cbs.energy, C2H7N3O2  ,      3384,           426,            2958, 0.12588652482269502  , partial
ccsd(t)_cbs.energy, C4H8      ,      4718,           426,            4292, 0.09029249682068673  , partial
ccsd(t)_cbs.energy, C2H2      ,      1706,           424,            1282, 0.2485345838218054   , partial
