system,system_domain,n_atoms,n_configs,train_configs,val_configs,test_id_configs,test_ood_configs,train_dft_available,val_dft_available,test_id_dft_available,test_ood_dft_available,train_cc_available,val_cc_available,test_id_cc_available,test_ood_cc_available
C10H14N4O5,seen,33,1122,673,225,224,0,645,222,215,0,16,5,1,0
C10H14N6,seen,30,1,1,0,0,0,0,0,0,0,0,0,0,0
C10H14O1,test_ood,25,60,0,0,0,60,0,0,0,60,0,0,0,1
C10H14O2,seen,26,594,356,119,119,0,352,117,116,0,3,3,1,0
C10H14O3,seen,27,418,251,84,83,0,249,82,81,0,2,1,2,0
C10H14O4,seen,28,402,241,81,80,0,240,79,79,0,4,0,0,0
C10H14O5,seen,29,2,1,1,0,0,0,0,0,0,0,0,0,0
C10H15N1,seen,26,363,218,73,72,0,216,73,72,0,8,2,2,0
C10H15N1O1,test_ood,27,844,0,0,0,844,0,0,0,838,0,0,0,29
C10H15N1O2,test_ood,28,392,0,0,0,392,0,0,0,382,0,0,0,9
C10H15N1O3,seen,29,190,114,38,38,0,108,37,36,0,0,0,2,0
C10H15N1O4,seen,30,3,2,1,0,0,0,0,0,0,0,0,0,0
C10H15N3,test_ood,28,928,0,0,0,928,0,0,0,913,0,0,0,17
C10H15N3O1,test_ood,29,431,0,0,0,431,0,0,0,415,0,0,0,8
C10H15N3O2,seen,30,4,2,1,1,0,0,0,0,0,0,0,0,0
C10H15N5,seen,30,2,1,1,0,0,0,0,0,0,0,0,0,0
C10H15N5O1,seen,31,2,1,1,0,0,0,0,0,0,0,0,0,0
C10H15N5O4,test_ood,34,1119,0,0,0,1119,0,0,0,1079,0,0,0,53
C10H15N5O5,seen,35,1,1,0,0,0,0,0,0,0,0,0,0,0
C10H16,seen,26,219,131,44,44,0,130,43,43,0,11,6,2,0
C10H16N2,seen,28,740,444,148,148,0,432,147,143,0,19,7,9,0
C10H16N2O1,test_ood,29,574,0,0,0,574,0,0,0,567,0,0,0,25
C10H16N2O2,test_ood,30,339,0,0,0,339,0,0,0,326,0,0,0,11
C10H16N2O3,test_ood,31,461,0,0,0,461,0,0,0,440,0,0,0,24
C10H16N2O4,seen,32,1,1,0,0,0,0,0,0,0,0,0,0,0
C10H16N2O5,seen,33,1094,656,219,219,0,634,209,211,0,21,10,8,0
C10H16N2O7,test_ood,35,451,0,0,0,451,0,0,0,397,0,0,0,44
C10H16N4,seen,30,178,107,36,35,0,107,35,35,0,1,1,1,0
C10H16N4O1,seen,31,1,1,0,0,0,0,0,0,0,0,0,0,0
C10H16N4O2,test_ood,32,1,0,0,0,1,0,0,0,0,0,0,0,0
C10H16N4O4,seen,34,1110,666,222,222,0,642,214,214,0,22,7,3,0
C10H16N6,test_ood,32,113,0,0,0,113,0,0,0,109,0,0,0,0
C10H16O1,seen,27,428,257,86,85,0,250,83,82,0,9,10,1,0
C10H16O2,seen,28,1196,718,239,239,0,708,235,236,0,29,13,1,0
C10H16O3,test_ood,29,3,0,0,0,3,0,0,0,0,0,0,0,0
C10H16O4,seen,30,3,2,1,0,0,0,0,0,0,0,0,0,0
C10H16O5,seen,31,2,1,1,0,0,0,0,0,0,0,0,0,0
C10H17N1,test_ood,28,1064,0,0,0,1064,0,0,0,1057,0,0,0,30
C10H17N1O1,test_ood,29,820,0,0,0,820,0,0,0,783,0,0,0,22
C10H17N1O2,seen,30,351,211,70,70,0,205,69,67,0,3,4,2,0
C10H17N1O3,test_ood,31,3,0,0,0,3,0,0,0,0,0,0,0,0
C10H17N1O4,seen,32,3,2,1,0,0,0,0,0,0,0,0,0,0
C10H17N1O5,test_ood,33,1,0,0,0,1,0,0,0,0,0,0,0,0
C10H17N3,seen,30,119,71,24,24,0,70,23,23,0,2,0,2,0
C10H17N3O1,seen,31,5,3,1,1,0,0,0,0,0,0,0,0,0
C10H17N3O2,test_ood,32,1,0,0,0,1,0,0,0,0,0,0,0,0
C10H17N3O3,seen,33,1,1,0,0,0,0,0,0,0,0,0,0,0
C10H17N3O4,seen,34,884,530,177,177,0,505,170,169,0,16,2,4,0
C10H17N3O6,seen,36,1102,661,221,220,0,640,209,213,0,16,9,10,0
C10H17N5,seen,32,1,1,0,0,0,0,0,0,0,0,0,0,0
C10H17N5O1,test_ood,33,1,0,0,0,1,0,0,0,0,0,0,0,0
C10H18,test_ood,28,6,0,0,0,6,0,0,0,6,0,0,0,0
C10H18N2,seen,30,375,225,75,75,0,220,74,75,0,6,4,3,0
C10H18N2O1,test_ood,31,183,0,0,0,183,0,0,0,180,0,0,0,1
C10H18N2O2,seen,32,3,2,1,0,0,0,0,0,0,0,0,0,0
C10H18N2O3,test_ood,33,948,0,0,0,948,0,0,0,906,0,0,0,15
C10H18N2O5,seen,35,2494,1496,499,499,0,1416,481,477,0,51,14,21,0
C10H18N4,seen,32,1,1,0,0,0,0,0,0,0,0,0,0,0
C10H18N4O1,seen,33,4,2,1,1,0,0,0,0,0,0,0,0,0
C10H18N4O5,seen,37,536,322,107,107,0,310,101,105,0,18,4,11,0
C10H18N6O3,test_ood,37,1,0,0,0,1,0,0,0,0,0,0,0,0
C10H18O1,test_ood,29,552,0,0,0,552,0,0,0,547,0,0,0,17
C10H18O2,test_ood,30,694,0,0,0,694,0,0,0,679,0,0,0,27
C10H18O3,test_ood,31,485,0,0,0,485,0,0,0,478,0,0,0,36
C10H18O4,seen,32,408,245,82,81,0,241,80,81,0,16,6,0,0
C10H19N1,seen,30,440,264,88,88,0,261,86,84,0,6,4,1,0
C10H19N1O1,seen,31,483,290,97,96,0,289,96,94,0,6,1,6,0
C10H19N1O2,test_ood,32,244,0,0,0,244,0,0,0,234,0,0,0,0
C10H19N1O3,seen,33,255,153,51,51,0,150,49,50,0,6,2,0,0
C10H19N1O4,test_ood,34,98,0,0,0,98,0,0,0,97,0,0,0,6
C10H19N3,seen,32,228,137,46,45,0,135,44,45,0,0,0,0,0
C10H19N3O1,seen,33,1,1,0,0,0,0,0,0,0,0,0,0,0
C10H19N3O2,seen,34,2,1,1,0,0,0,0,0,0,0,0,0,0
C10H19N3O3,test_ood,35,1,0,0,0,1,0,0,0,0,0,0,0,0
C10H19N3O4,test_ood,36,2452,0,0,0,2452,0,0,0,2332,0,0,0,69
C10H19N3O5,seen,37,1038,623,208,207,0,596,198,204,0,16,5,5,0
C10H19N5,seen,34,125,75,25,25,0,75,24,25,0,1,1,2,0
C10H19N5O5,seen,39,1150,690,230,230,0,674,219,217,0,13,5,2,0
C10H20,seen,30,3,2,1,0,0,2,1,0,0,0,0,0,0
C10H20N2,seen,32,447,268,90,89,0,265,87,87,0,4,1,4,0
C10H20N2O1,seen,33,301,181,60,60,0,175,57,57,0,8,4,3,0
C10H20N2O2,test_ood,34,201,0,0,0,201,0,0,0,195,0,0,0,7
C10H20N2O3,test_ood,35,448,0,0,0,448,0,0,0,427,0,0,0,37
C10H20N2O4,seen,36,1467,880,294,293,0,841,275,271,0,23,8,7,0
C10H20N4,test_ood,34,114,0,0,0,114,0,0,0,113,0,0,0,2
C10H20N4O4,test_ood,38,863,0,0,0,863,0,0,0,795,0,0,0,16
C10H20N6O4,test_ood,40,973,0,0,0,973,0,0,0,933,0,0,0,15
C10H20O1,seen,31,666,400,133,133,0,392,130,131,0,8,2,1,0
C10H20O2,seen,32,182,109,37,36,0,109,37,36,0,0,2,0,0
C10H20O3,seen,33,1,1,0,0,0,0,0,0,0,0,0,0,0
C10H20O4,test_ood,34,1,0,0,0,1,0,0,0,0,0,0,0,0
C10H20O5,seen,35,125,75,25,25,0,72,24,24,0,2,2,0,0
C10H20O6,seen,36,1,1,0,0,0,0,0,0,0,0,0,0,0
C10H21N1,test_ood,32,193,0,0,0,193,0,0,0,192,0,0,0,3
C10H21N1O1,test_ood,33,530,0,0,0,530,0,0,0,525,0,0,0,15
C10H21N1O2,seen,34,431,259,86,86,0,257,85,83,0,12,4,5,0
C10H21N1O4,test_ood,36,130,0,0,0,130,0,0,0,127,0,0,0,9
C10H21N3O1,test_ood,35,111,0,0,0,111,0,0,0,104,0,0,0,0
C10H21N3O3,seen,37,1,1,0,0,0,0,0,0,0,0,0,0,0
C10H21N3O4,seen,38,940,564,188,188,0,544,179,177,0,23,12,4,0
C10H21N5O1,seen,37,1,1,0,0,0,0,0,0,0,0,0,0,0
C10H21N5O4,seen,40,1065,639,213,213,0,615,208,202,0,20,10,10,0
C10H22N2,test_ood,34,109,0,0,0,109,0,0,0,107,0,0,0,0
C10H22N2O1,test_ood,35,1,0,0,0,1,0,0,0,0,0,0,0,0
C10H22N2O3,test_ood,37,1,0,0,0,1,0,0,0,0,0,0,0,0
C10H22N2O4,test_ood,38,1,0,0,0,1,0,0,0,0,0,0,0,0
C10H22N4,seen,36,274,164,55,55,0,163,55,55,0,11,0,5,0
C10H22N4O2,seen,38,1,1,0,0,0,0,0,0,0,0,0,0,0
C10H22O1,seen,33,3,2,1,0,0,2,1,0,0,0,0,0,0
C10H22O2,test_ood,34,24,0,0,0,24,0,0,0,24,0,0,0,0
C10H22O3,seen,35,407,244,82,81,0,243,81,81,0,10,10,4,0
C10H22O6,seen,38,137,82,28,27,0,78,28,26,0,0,0,0,0
C10H23N1,seen,34,12,7,3,2,0,7,3,2,0,0,0,0,0
C10H23N1O1,test_ood,35,54,0,0,0,54,0,0,0,54,0,0,0,0
C10H23N1O3,test_ood,37,1,0,0,0,1,0,0,0,0,0,0,0,0
C10H23N3O1,seen,37,1,1,0,0,0,0,0,0,0,0,0,0,0
C10H23N3O2,seen,38,117,70,24,23,0,70,24,22,0,1,3,2,0
C10H24N2,seen,36,25,15,5,5,0,15,5,5,0,0,0,0,0
C10H24N2O1,test_ood,37,2,0,0,0,2,0,0,0,0,0,0,0,0
C10H24N2O2,seen,38,1,1,0,0,0,0,0,0,0,0,0,0,0
C10H24N2O4,seen,40,159,95,32,32,0,92,32,31,0,4,2,1,0
C10H24N4,seen,38,86,52,17,17,0,52,16,17,0,3,1,1,0
C10H24N4O1,seen,39,1,1,0,0,0,0,0,0,0,0,0,0,0
C10H24O2,seen,36,3,2,1,0,0,2,1,0,0,0,0,0,0
C10H25N1,test_ood,36,2,0,0,0,2,0,0,0,2,0,0,0,0
C10H25N1O1,test_ood,37,3,0,0,0,3,0,0,0,3,0,0,0,0
C10H25N3,test_ood,38,1,0,0,0,1,0,0,0,0,0,0,0,0
C10H25N3O1,test_ood,39,1,0,0,0,1,0,0,0,0,0,0,0,0
C10H25N3O3,seen,41,1,1,0,0,0,0,0,0,0,0,0,0,0
C10H26N2,seen,38,4,2,1,1,0,2,1,1,0,0,0,0,0
C10H26N2O6,seen,44,1,1,0,0,0,0,0,0,0,0,0,0,0
C10H26N4,seen,40,1,1,0,0,0,0,0,0,0,0,0,0,0
C10H26N4O2,test_ood,42,1,0,0,0,1,0,0,0,0,0,0,0,0
C10H26N6,seen,42,1,1,0,0,0,0,0,0,0,0,0,0,0
C10H3N1O1,test_ood,15,3,0,0,0,3,0,0,0,3,0,0,0,0
C10H4N2,seen,16,4,2,1,1,0,2,1,1,0,0,0,0,0
C10H5N1,seen,16,2,1,1,0,0,1,1,0,0,0,0,0,0
C10H5N1O1,seen,17,6,4,1,1,0,4,1,1,0,2,0,0,0
C10H6,seen,16,127,76,26,25,0,74,26,24,0,5,7,3,0
C10H6N2,seen,18,143,86,29,28,0,86,29,28,0,12,2,4,0
C10H6N4,test_ood,20,149,0,0,0,149,0,0,0,146,0,0,0,19
C10H6O1,seen,17,4,2,1,1,0,2,1,1,0,0,0,1,0
C10H6O2,seen,18,294,176,59,59,0,173,59,57,0,18,6,13,0
C10H6O3,seen,19,132,79,27,26,0,79,27,26,0,8,4,2,0
C10H7N1,test_ood,18,4,0,0,0,4,0,0,0,4,0,0,0,0
C10H7N1O1,test_ood,19,705,0,0,0,705,0,0,0,557,0,0,0,71
C10H7N1O2,seen,20,1076,646,215,215,0,544,185,192,0,74,27,28,0
C10H7N1O3,test_ood,21,359,0,0,0,359,0,0,0,353,0,0,0,7
C10H7N3,seen,20,481,289,96,96,0,284,96,95,0,36,18,16,0
C10H7N3O1,test_ood,21,283,0,0,0,283,0,0,0,279,0,0,0,13
C10H8,seen,18,29,17,6,6,0,16,6,6,0,1,1,2,0
C10H8N2,seen,20,3745,2247,749,749,0,512,178,166,0,220,67,72,0
C10H8N2O1,test_ood,21,1179,0,0,0,1179,0,0,0,1030,0,0,0,32
C10H8N2O2,seen,22,271,163,54,54,0,159,52,54,0,6,3,3,0
C10H8N4,test_ood,22,249,0,0,0,249,0,0,0,245,0,0,0,7
C10H8O1,seen,19,1809,1085,362,362,0,141,37,47,0,86,25,23,0
C10H8O2,seen,20,3039,1823,608,608,0,1700,566,572,0,217,67,65,0
C10H8O3,seen,21,1391,835,278,278,0,736,246,254,0,33,9,13,0
C10H9N1,seen,20,3177,1906,636,635,0,700,224,236,0,161,44,51,0
C10H9N1O1,seen,21,3390,2034,678,678,0,2008,673,672,0,26,7,6,0
C10H9N1O2,seen,22,2466,1480,493,493,0,991,328,340,0,59,28,26,0
C10H9N1O3,seen,23,136,82,27,27,0,82,26,27,0,2,1,1,0
C10H9N3,seen,22,500,300,100,100,0,297,99,98,0,8,6,1,0
C10H9N3O1,seen,23,658,395,132,131,0,391,132,129,0,14,6,5,0
C10H9N5,seen,24,154,92,31,31,0,91,30,29,0,6,3,1,0
C10H9N5O1,seen,25,1,1,0,0,0,0,0,0,0,0,0,0,0
C11H10,seen,21,210,126,42,42,0,126,42,42,0,1,1,0,0
C11H10N2,seen,23,1583,950,317,316,0,765,240,249,0,32,11,12,0
C11H10N2O1,test_ood,24,330,0,0,0,330,0,0,0,326,0,0,0,10
C11H10N2O2,seen,25,2,1,1,0,0,0,0,0,0,0,0,0,0
C11H10N4,test_ood,25,1,0,0,0,1,0,0,0,0,0,0,0,0
C11H10O1,seen,22,803,482,161,160,0,480,159,160,0,3,2,0,0
C11H10O2,seen,23,398,239,80,79,0,238,80,79,0,4,2,2,0
C11H10O3,seen,24,245,147,49,49,0,145,48,49,0,0,0,0,0
C11H10O4,seen,25,2,1,1,0,0,0,0,0,0,0,0,0,0
C11H10O7,seen,28,1,1,0,0,0,0,0,0,0,0,0,0,0
C11H11N1,test_ood,23,811,0,0,0,811,0,0,0,807,0,0,0,6
C11H11N1O1,seen,24,1861,1117,372,372,0,1016,337,342,0,20,7,7,0
C11H11N1O2,seen,25,495,297,99,99,0,290,99,97,0,7,5,4,0
C11H11N1O3,test_ood,26,135,0,0,0,135,0,0,0,131,0,0,0,7
C11H11N3,seen,25,252,151,51,50,0,149,51,48,0,1,1,0,0
C11H11N3O1,test_ood,26,104,0,0,0,104,0,0,0,104,0,0,0,0
C11H11N3O2,seen,27,2,1,1,0,0,0,0,0,0,0,0,0,0
C11H12,test_ood,23,16,0,0,0,16,0,0,0,16,0,0,0,2
C11H12N2,test_ood,25,829,0,0,0,829,0,0,0,821,0,0,0,27
C11H12N2O1,test_ood,26,1254,0,0,0,1254,0,0,0,1235,0,0,0,32
C11H12N2O2,test_ood,27,1314,0,0,0,1314,0,0,0,1292,0,0,0,10
C11H12N4,test_ood,27,1,0,0,0,1,0,0,0,0,0,0,0,0
C11H12N4O2,seen,29,1,1,0,0,0,0,0,0,0,0,0,0,0
C11H12O1,test_ood,24,634,0,0,0,634,0,0,0,486,0,0,0,19
C11H12O2,seen,25,1496,898,299,299,0,894,297,295,0,21,4,10,0
C11H12O3,test_ood,26,99,0,0,0,99,0,0,0,98,0,0,0,0
C11H12O4,seen,27,1,1,0,0,0,0,0,0,0,0,0,0,0
C11H13N1,seen,25,2050,1230,410,410,0,1214,404,403,0,47,14,8,0
C11H13N1O1,test_ood,26,2144,0,0,0,2144,0,0,0,2109,0,0,0,43
C11H13N1O2,seen,27,1144,686,229,229,0,679,225,229,0,20,5,4,0
C11H13N1O3,seen,28,2,1,1,0,0,0,0,0,0,0,0,0,0
C11H13N1O4,seen,29,4,2,1,1,0,0,0,0,0,0,0,0,0
C11H13N3,seen,27,977,586,196,195,0,578,191,190,0,20,3,6,0
C11H13N3O1,seen,28,268,161,54,53,0,156,54,53,0,3,1,3,0
C11H13N3O2,test_ood,29,115,0,0,0,115,0,0,0,108,0,0,0,6
C11H13N5O1,test_ood,30,1,0,0,0,1,0,0,0,0,0,0,0,0
C11H14,seen,25,17,10,4,3,0,10,4,3,0,0,0,0,0
C11H14N2,seen,27,1730,1038,346,346,0,1026,345,345,0,18,4,7,0
C11H14N2O1,seen,28,561,337,112,112,0,328,112,111,0,2,2,2,0
C11H14N2O2,test_ood,29,250,0,0,0,250,0,0,0,246,0,0,0,1
C11H14N2O3,seen,30,760,456,152,152,0,429,145,145,0,10,6,3,0
C11H14N2O4,seen,31,784,470,157,157,0,451,142,151,0,8,5,3,0
C11H14N4,seen,29,4,2,1,1,0,0,0,0,0,0,0,0,0
C11H14N4O1,seen,30,2,1,1,0,0,0,0,0,0,0,0,0,0
C11H14N4O2,seen,31,1,1,0,0,0,0,0,0,0,0,0,0,0
C11H14N4O3,seen,32,2,1,1,0,0,0,0,0,0,0,0,0,0
C11H14O1,seen,26,299,179,60,60,0,178,60,60,0,4,3,1,0
C11H14O2,seen,27,1247,748,250,249,0,738,245,245,0,5,1,3,0
C11H14O3,seen,28,301,181,60,60,0,178,59,60,0,2,1,0,0
C11H14O4,seen,29,96,58,19,19,0,55,19,18,0,2,0,1,0
C11H15N1,seen,27,1135,681,227,227,0,675,227,224,0,5,2,5,0
C11H15N1O1,seen,28,2087,1252,418,417,0,1235,417,415,0,6,3,3,0
C11H15N1O2,seen,29,1215,729,243,243,0,715,237,237,0,12,3,2,0
C11H15N1O3,test_ood,30,2,0,0,0,2,0,0,0,0,0,0,0,0
C11H15N1O4,seen,31,2,1,1,0,0,0,0,0,0,0,0,0,0
C11H15N1O5,seen,32,1,1,0,0,0,0,0,0,0,0,0,0,0
C11H15N3,seen,29,986,592,197,197,0,583,192,194,0,13,5,7,0
C11H15N3O1,test_ood,30,6,0,0,0,6,0,0,0,0,0,0,0,0
C11H15N3O2,seen,31,2,1,1,0,0,0,0,0,0,0,0,0,0
C11H15N3O3,seen,32,1,1,0,0,0,0,0,0,0,0,0,0,0
C11H15N5O1,seen,32,1,1,0,0,0,0,0,0,0,0,0,0,0
C11H16,seen,27,18,11,4,3,0,11,4,3,0,0,0,0,0
C11H16N2,test_ood,29,999,0,0,0,999,0,0,0,992,0,0,0,15
C11H16N2O1,seen,30,715,429,143,143,0,418,140,137,0,7,4,2,0
C11H16N2O2,seen,31,215,129,43,43,0,126,40,42,0,5,0,0,0
C11H16N2O3,seen,32,2,1,1,0,0,0,0,0,0,0,0,0,0
C11H16N4,test_ood,31,109,0,0,0,109,0,0,0,105,0,0,0,12
C11H16N4O2,seen,33,1,1,0,0,0,0,0,0,0,0,0,0,0
C11H16N4O3,test_ood,34,1071,0,0,0,1071,0,0,0,1030,0,0,0,38
C11H16N4O5,seen,36,1111,667,222,222,0,642,215,214,0,25,10,9,0
C11H16O1,seen,28,153,92,31,30,0,91,31,30,0,5,3,1,0
C11H16O2,seen,29,378,227,76,75,0,226,76,74,0,9,2,3,0
C11H16O3,test_ood,30,95,0,0,0,95,0,0,0,92,0,0,0,0
C11H16O4,seen,31,110,66,22,22,0,64,22,22,0,3,1,1,0
C11H17N1,seen,29,205,123,41,41,0,123,41,41,0,2,1,1,0
C11H17N1O1,seen,30,174,104,35,35,0,104,33,35,0,4,2,0,0
C11H17N1O2,seen,31,845,507,169,169,0,499,167,167,0,10,6,3,0
C11H17N1O3,test_ood,32,216,0,0,0,216,0,0,0,211,0,0,0,5
C11H17N1O4,seen,33,2,1,1,0,0,0,0,0,0,0,0,0,0
C11H17N3,test_ood,31,345,0,0,0,345,0,0,0,333,0,0,0,3
C11H17N3O1,test_ood,32,412,0,0,0,412,0,0,0,403,0,0,0,8
C11H17N3O2,seen,33,3,2,1,0,0,0,0,0,0,0,0,0,0
C11H17N3O6,test_ood,37,1,0,0,0,1,0,0,0,0,0,0,0,0
C11H17N5O4,test_ood,37,1053,0,0,0,1053,0,0,0,1013,0,0,0,22
C11H17N9O2,seen,39,1,1,0,0,0,0,0,0,0,0,0,0,0
C11H18,test_ood,29,133,0,0,0,133,0,0,0,132,0,0,0,0
C11H18N2,test_ood,31,217,0,0,0,217,0,0,0,210,0,0,0,4
C11H18N2O1,seen,32,238,143,48,47,0,140,48,46,0,5,1,0,0
C11H18N2O2,seen,33,108,65,22,21,0,61,21,20,0,2,0,1,0
C11H18N2O3,seen,34,1,1,0,0,0,0,0,0,0,0,0,0,0
C11H18N4,test_ood,33,2,0,0,0,2,0,0,0,0,0,0,0,0
C11H18N4O1,seen,34,1,1,0,0,0,0,0,0,0,0,0,0,0
C11H18N4O3,seen,36,1067,640,214,213,0,619,202,206,0,18,8,6,0
C11H18N4O4,test_ood,37,1,0,0,0,1,0,0,0,0,0,0,0,0
C11H18O1,seen,30,139,83,28,28,0,83,28,28,0,0,0,0,0
C11H18O2,seen,31,244,146,49,49,0,144,48,48,0,3,1,0,0
C11H18O3,seen,32,3,2,1,0,0,0,0,0,0,0,0,0,0
C11H18O4,seen,33,2,1,1,0,0,0,0,0,0,0,0,0,0
C11H19N1,seen,31,301,181,60,60,0,180,60,58,0,4,2,1,0
C11H19N1O1,seen,32,114,68,23,23,0,67,23,23,0,1,0,0,0
C11H19N1O2,test_ood,33,112,0,0,0,112,0,0,0,108,0,0,0,0
C11H19N1O3,test_ood,34,2,0,0,0,2,0,0,0,0,0,0,0,0
C11H19N3,seen,33,2,1,1,0,0,0,0,0,0,0,0,0,0
C11H19N3O1,test_ood,34,6,0,0,0,6,0,0,0,0,0,0,0,0
C11H20,seen,31,17,10,4,3,0,10,4,3,0,0,0,0,0
C11H20N2,seen,33,85,51,17,17,0,51,17,16,0,0,0,0,0
C11H20N2O1,test_ood,34,231,0,0,0,231,0,0,0,225,0,0,0,1
C11H20N2O2,test_ood,35,1,0,0,0,1,0,0,0,0,0,0,0,0
C11H20N2O3,seen,36,1390,834,278,278,0,778,263,267,0,24,7,5,0
C11H20N2O5,seen,38,1574,944,315,315,0,903,301,290,0,44,8,10,0
C11H20N4,test_ood,35,205,0,0,0,205,0,0,0,198,0,0,0,5
C11H20N6O4,seen,41,1,1,0,0,0,0,0,0,0,0,0,0,0
C11H20O1,test_ood,32,100,0,0,0,100,0,0,0,100,0,0,0,2
C11H20O2,seen,33,304,182,61,61,0,179,58,59,0,2,1,1,0
C11H20O3,test_ood,34,405,0,0,0,405,0,0,0,403,0,0,0,8
C11H20O4,seen,35,133,80,27,26,0,80,27,25,0,3,2,1,0
C11H21N1,seen,33,365,219,73,73,0,216,71,73,0,9,1,2,0
C11H21N1O1,test_ood,34,80,0,0,0,80,0,0,0,79,0,0,0,4
C11H21N1O2,seen,35,2,1,1,0,0,0,0,0,0,0,0,0,0
C11H21N3,test_ood,35,202,0,0,0,202,0,0,0,199,0,0,0,6
C11H21N3O1,test_ood,36,90,0,0,0,90,0,0,0,90,0,0,0,3
C11H21N3O3,seen,38,924,554,185,185,0,532,177,175,0,13,5,5,0
C11H21N3O4,seen,39,1507,904,302,301,0,860,285,282,0,17,7,9,0
C11H21N3O5,seen,40,980,588,196,196,0,561,187,192,0,21,7,8,0
